r(thres)	L	N	D(dens.)	con_comp	CC(clus.)	check_sum	ave_degr
0.000000	1993	64	0.988591	1.000000	0.988685	1.000000	62.281250	
0.010000	1992	64	0.988095	1.000000	0.988061	1.000000	62.250000	
0.020000	1989	64	0.986607	1.000000	0.986525	1.000000	62.156250	
0.030000	1982	64	0.983135	1.000000	0.983043	1.000000	61.937500	
0.040000	1979	64	0.981647	1.000000	0.981747	1.000000	61.843750	
0.050000	1966	64	0.975198	1.000000	0.975124	1.000000	61.437500	
0.060000	1959	64	0.971726	1.000000	0.971568	1.000000	61.218750	
0.070000	1945	64	0.964782	1.000000	0.964558	1.000000	60.781250	
0.080000	1939	64	0.961806	1.000000	0.962073	1.000000	60.593750	
0.090000	1925	64	0.954861	1.000000	0.954611	1.000000	60.156250	
0.100000	1912	64	0.948413	1.000000	0.948258	1.000000	59.750000	
0.110000	1890	64	0.937500	1.000000	0.937057	1.000000	59.062500	
0.120000	1857	64	0.921131	1.000000	0.920782	1.000000	58.031250	
0.130000	1823	64	0.904266	1.000000	0.904305	1.000000	56.968750	
0.140000	1784	64	0.884921	1.000000	0.885996	1.000000	55.750000	
0.150000	1746	64	0.866071	1.000000	0.866512	1.000000	54.562500	
0.160000	1694	64	0.840278	1.000000	0.841553	1.000000	52.937500	
0.170000	1631	64	0.809028	1.000000	0.805839	1.000000	50.968750	
0.180000	1570	64	0.778770	1.000000	0.777264	1.000000	49.062500	
0.190000	1515	64	0.751488	1.000000	0.752607	1.000000	47.343750	
0.200000	1449	64	0.718750	1.000000	0.716272	1.000000	45.281250	
0.210000	1379	64	0.684028	1.000000	0.683815	1.000000	43.093750	
0.220000	1309	64	0.649306	1.000000	0.647707	1.000000	40.906250	
0.230000	1238	64	0.614087	1.000000	0.615296	1.000000	38.687500	
0.240000	1139	64	0.564980	1.000000	0.563127	1.000000	35.593750	
0.250000	1063	64	0.527282	1.000000	0.522965	1.000000	33.218750	
0.260000	992	64	0.492063	1.000000	0.499501	1.000000	31.000000	
0.270000	919	64	0.455853	1.000000	0.458531	1.000000	28.718750	
0.280000	843	64	0.418155	1.000000	0.418648	1.000000	26.343750	
0.290000	782	64	0.387897	1.000000	0.380894	1.000000	24.437500	
0.300000	719	64	0.356647	1.000000	0.358395	1.000000	22.468750	
0.310000	653	64	0.323909	1.000000	0.321175	1.000000	20.406250	
0.320000	599	64	0.297123	1.000000	0.294521	1.000000	18.718750	
0.330000	558	64	0.276786	1.000000	0.285555	1.000000	17.437500	
0.340000	498	64	0.247024	1.000000	0.255736	1.000000	15.562500	
0.350000	445	64	0.220734	1.000000	0.225411	1.000000	13.906250	
0.360000	387	64	0.191964	1.000000	0.192464	1.000000	12.093750	
0.370000	341	64	0.169147	1.000000	0.167653	1.000000	10.656250	
0.380000	310	64	0.153770	1.000000	0.153048	1.000000	9.687500	
0.390000	274	64	0.135913	1.000000	0.171092	1.000000	8.562500	
0.400000	247	64	0.122520	1.000000	0.148068	1.000000	7.718750	
0.410000	220	64	0.109127	1.000000	0.129512	1.000000	6.875000	
0.420000	194	64	0.096230	1.000000	0.096565	1.000000	6.062500	
0.430000	176	64	0.087302	1.000000	0.113568	1.000000	5.500000	
0.440000	155	64	0.076885	1.000000	0.077927	1.000000	4.843750	
0.450000	138	64	0.068452	3.000000	0.054179	1.000000	4.312500	
0.460000	124	64	0.061508	3.000000	0.082254	1.000000	3.875000	
0.470000	110	64	0.054563	4.000000	0.050930	1.000000	3.437500	
0.480000	98	64	0.048611	5.000000	0.030952	1.000000	3.062500	
0.490000	87	64	0.043155	6.000000	0.077158	1.000000	2.718750	
0.500000	82	64	0.040675	7.000000	0.019792	1.000000	2.562500	
0.510000	68	64	0.033730	8.000000	0.010677	1.000000	2.125000	
0.520000	63	64	0.031250	14.000000	0.030729	1.000000	1.968750	
0.530000	58	64	0.028770	15.000000	0.022396	1.000000	1.812500	
