r(thres)	L	N	D(dens.)	con_comp	CC(clus.)	check_sum	ave_degr
0.000000	1988	64	0.986111	1.000000	0.986108	1.000000	62.125000	
0.010000	1997	64	0.990575	1.000000	0.990547	1.000000	62.406250	
0.020000	1993	64	0.988591	1.000000	0.988547	1.000000	62.281250	
0.030000	1984	64	0.984127	1.000000	0.984228	1.000000	62.000000	
0.040000	1994	64	0.989087	1.000000	0.989060	1.000000	62.312500	
0.050000	1964	64	0.974206	1.000000	0.974302	1.000000	61.375000	
0.060000	1971	64	0.977679	1.000000	0.977532	1.000000	61.593750	
0.070000	1927	64	0.955853	1.000000	0.955818	1.000000	60.218750	
0.080000	1950	64	0.967262	1.000000	0.966987	1.000000	60.937500	
0.090000	1927	64	0.955853	1.000000	0.955728	1.000000	60.218750	
0.100000	1918	64	0.951389	1.000000	0.951648	1.000000	59.937500	
0.110000	1885	64	0.935020	1.000000	0.934622	1.000000	58.906250	
0.120000	1863	64	0.924107	1.000000	0.923524	1.000000	58.218750	
0.130000	1830	64	0.907738	1.000000	0.908184	1.000000	57.187500	
0.140000	1762	64	0.874008	1.000000	0.874717	1.000000	55.062500	
0.150000	1774	64	0.879960	1.000000	0.879325	1.000000	55.437500	
0.160000	1711	64	0.848710	1.000000	0.848682	1.000000	53.468750	
0.170000	1633	64	0.810020	1.000000	0.810276	1.000000	51.031250	
0.180000	1548	64	0.767857	1.000000	0.768445	1.000000	48.375000	
0.190000	1505	64	0.746528	1.000000	0.742978	1.000000	47.031250	
0.200000	1433	64	0.710813	1.000000	0.712620	1.000000	44.781250	
0.210000	1383	64	0.686012	1.000000	0.688660	1.000000	43.218750	
0.220000	1321	64	0.655258	1.000000	0.656386	1.000000	41.281250	
0.230000	1244	64	0.617063	1.000000	0.618276	1.000000	38.875000	
0.240000	1096	64	0.543651	1.000000	0.545406	1.000000	34.250000	
0.250000	1042	64	0.516865	1.000000	0.517078	1.000000	32.562500	
0.260000	970	64	0.481151	1.000000	0.479150	1.000000	30.312500	
