r(thres)	L	N	D(dens.)	con_comp	CC(clus.)	check_sum	ave_degr
0.000000	32	2.133333	1.000000		1.000000	8.333333	
0.010000	32	2.133333	1.000000		1.000000	8.333333	
0.020000	32	2.133333	1.000000		1.000000	8.000000	
0.030000	32	0.888889	1.000000		1.000000	5.111111	
0.040000	32	0.888889	1.000000		1.000000	5.000000	
0.050000	32	0.888889	1.000000		1.000000	4.555556	
0.060000	32	0.581818	2.000000		1.000000	3.545455	
0.070000	32	0.581818	2.000000		1.000000	3.090909	
0.080000	32	0.410256	1.000000		1.000000	2.461538	
0.090000	32	0.351648	1.000000		1.000000	2.000000	
0.100000	32	0.351648	1.000000		1.000000	1.785714	
0.110000	32	0.266667	1.000000		1.000000	1.312500	
0.120000	32	0.187135	1.000000		1.000000	0.894737	
0.130000	32	0.187135	1.000000		1.000000	0.684211	
0.140000	32	0.152381	2.000000		1.000000	0.571429	
0.150000	32	0.126482	2.000000		1.000000	0.434783	
0.160000	32	0.106667	2.000000		1.000000	0.200000	
0.170000	32	0.078818	3.000000		1.000000	0.137931	
0.180000	32	0.064516	3.000000		1.000000	0.093750	
0.190000	32	0.060606	4.000000		1.000000	0.060606	
0.200000	32	0.057041	5.000000		1.000000	0.029412	
0.210000	32	0.064516	5.000000		1.000000	0.031250	
0.220000	32	0.043185	8.000000		1.000000	0.025641	
0.230000	32	0.060606	4.000000		1.000000	0.030303	
0.240000	32	0.050794	7.000000		1.000000	0.055556	
0.250000	32	0.050794	7.000000		1.000000	0.027778	
0.260000	32	0.048048	8.000000		1.000000	0.027027	
0.270000	32	0.048048	6.000000		1.000000	0.027027	
0.280000	32	0.057041	5.000000		1.000000	0.029412	
0.290000	32	0.057041	3.000000		1.000000	0.029412	
0.300000	32	0.050794	7.000000		1.000000	0.027778	
0.310000	32	0.064516	5.000000		1.000000	0.031250	
0.320000	32	0.078818	2.000000		1.000000	0.068966	
0.330000	32	0.068817	2.000000		1.000000	0.032258	
0.340000	32	0.091168	2.000000		1.000000	0.074074	
0.350000	32	0.078818	3.000000		1.000000	0.034483	
0.360000	32	0.115942	1.000000		1.000000	0.041667	
0.370000	32	0.115942	2.000000		1.000000	0.041667	
