node	r(thre.)	node_cc
1	0.000000	0.988223
2	0.000000	0.988223
3	0.000000	0.988223
4	0.000000	0.996045
5	0.000000	0.988223
6	0.000000	0.988223
7	0.000000	0.988223
8	0.000000	0.988223
9	0.000000	0.988223
10	0.000000	0.988223
11	0.000000	0.988223
12	0.000000	0.988223
13	0.000000	0.988223
14	0.000000	0.988223
15	0.000000	0.988223
16	0.000000	0.988223
17	0.000000	0.988223
18	0.000000	0.988223
19	0.000000	0.988223
20	0.000000	0.988223
21	0.000000	0.988223
22	0.000000	0.988223
23	0.000000	0.988223
24	0.000000	0.988223
25	0.000000	0.988223
26	0.000000	0.988223
27	0.000000	0.988223
28	0.000000	0.988223
29	0.000000	0.994536
30	0.000000	1.000000
31	0.000000	0.999373
32	0.000000	0.988223
33	0.000000	1.000000
34	0.000000	0.988223
35	0.000000	0.996045
36	0.000000	0.991539
37	0.000000	0.988223
38	0.000000	0.994536
39	0.000000	0.988223
40	0.000000	0.988223
41	0.000000	0.988223
42	0.000000	0.988223
43	0.000000	0.988223
44	0.000000	0.988223
45	0.000000	0.988223
46	0.000000	0.988223
47	0.000000	0.994536
48	0.000000	0.988223
49	0.000000	0.988223
50	0.000000	0.988223
51	0.000000	0.988223
52	0.000000	0.994536
53	0.000000	0.988223
54	0.000000	0.988223
55	0.000000	0.988223
56	0.000000	0.988223
57	0.000000	0.988223
58	0.000000	0.988223
59	0.000000	0.994536
60	0.000000	0.988223
61	0.000000	0.991539
62	0.000000	0.988223
63	0.000000	0.994536
64	0.000000	0.999373

1	0.010000	0.987711
2	0.010000	0.987711
3	0.010000	0.987711
4	0.010000	0.995480
5	0.010000	0.987711
6	0.010000	0.987711
7	0.010000	0.987711
8	0.010000	0.987711
9	0.010000	0.987711
10	0.010000	0.987711
11	0.010000	0.987711
12	0.010000	0.987711
13	0.010000	0.987711
14	0.010000	0.987711
15	0.010000	0.987711
16	0.010000	0.987711
17	0.010000	0.987711
18	0.010000	0.987711
19	0.010000	0.987711
20	0.010000	0.987711
21	0.010000	0.987711
22	0.010000	0.987711
23	0.010000	0.987711
24	0.010000	0.987711
25	0.010000	0.987711
26	0.010000	0.987711
27	0.010000	0.987711
28	0.010000	0.987711
29	0.010000	0.993989
30	0.010000	1.000000
31	0.010000	0.998747
32	0.010000	0.987711
33	0.010000	1.000000
34	0.010000	0.987711
35	0.010000	0.995480
36	0.010000	0.992350
37	0.010000	0.987711
38	0.010000	0.994915
39	0.010000	0.987711
40	0.010000	0.987711
41	0.010000	0.987711
42	0.010000	0.987711
43	0.010000	0.987711
44	0.010000	0.987711
45	0.010000	0.987711
46	0.010000	0.987711
47	0.010000	0.993989
48	0.010000	0.987711
49	0.010000	0.987711
50	0.010000	0.987711
51	0.010000	0.987711
52	0.010000	0.993989
53	0.010000	0.987711
54	0.010000	0.987711
55	0.010000	0.987711
56	0.010000	0.987711
57	0.010000	0.987711
58	0.010000	0.987711
59	0.010000	0.993989
60	0.010000	0.987711
61	0.010000	0.991010
62	0.010000	0.987711
63	0.010000	0.993989
64	0.010000	0.999373

1	0.020000	0.989952
2	0.020000	0.986175
3	0.020000	0.986175
4	0.020000	0.994350
5	0.020000	0.986175
6	0.020000	0.986175
7	0.020000	0.986175
8	0.020000	0.986175
9	0.020000	0.986175
10	0.020000	0.986175
11	0.020000	0.986175
12	0.020000	0.986175
13	0.020000	0.986175
14	0.020000	0.986175
15	0.020000	0.986175
16	0.020000	0.986175
17	0.020000	0.986175
18	0.020000	0.989424
19	0.020000	0.986175
20	0.020000	0.986175
21	0.020000	0.986175
22	0.020000	0.986175
23	0.020000	0.986175
24	0.020000	0.986175
25	0.020000	0.986175
26	0.020000	0.986175
27	0.020000	0.986175
28	0.020000	0.986175
29	0.020000	0.993443
30	0.020000	1.000000
31	0.020000	0.998052
32	0.020000	0.986175
33	0.020000	0.999327
34	0.020000	0.986175
35	0.020000	0.994915
36	0.020000	0.991257
37	0.020000	0.986175
38	0.020000	0.993785
39	0.020000	0.986175
40	0.020000	0.986175
41	0.020000	0.986175
42	0.020000	0.986175
43	0.020000	0.986175
44	0.020000	0.986175
45	0.020000	0.986175
46	0.020000	0.986175
47	0.020000	0.992896
48	0.020000	0.986175
49	0.020000	0.986175
50	0.020000	0.986175
51	0.020000	0.986175
52	0.020000	0.993443
53	0.020000	0.986175
54	0.020000	0.986175
55	0.020000	0.986175
56	0.020000	0.986175
57	0.020000	0.986175
58	0.020000	0.986175
59	0.020000	0.992896
60	0.020000	0.986175
61	0.020000	0.992896
62	0.020000	0.986175
63	0.020000	0.993443
64	0.020000	1.000000

1	0.030000	0.986779
2	0.030000	0.982591
3	0.030000	0.982591
4	0.030000	0.993571
5	0.030000	0.982591
6	0.030000	0.982591
7	0.030000	0.982591
8	0.030000	0.982591
9	0.030000	0.982591
10	0.030000	0.982591
11	0.030000	0.982591
12	0.030000	0.982591
13	0.030000	0.986251
14	0.030000	0.982591
15	0.030000	0.982591
16	0.030000	0.982591
17	0.030000	0.982591
18	0.030000	0.986251
19	0.030000	0.982591
20	0.030000	0.982591
21	0.030000	0.982591
22	0.030000	0.982591
23	0.030000	0.982591
24	0.030000	0.982591
25	0.030000	0.982591
26	0.030000	0.982591
27	0.030000	0.982591
28	0.030000	0.982591
29	0.030000	0.990710
30	0.030000	0.999351
31	0.030000	0.995960
32	0.030000	0.982591
33	0.030000	0.999301
34	0.030000	0.982591
35	0.030000	0.992655
36	0.030000	0.993345
37	0.030000	0.982591
38	0.030000	0.993571
39	0.030000	0.982591
40	0.030000	0.982591
41	0.030000	0.990710
42	0.030000	0.982591
43	0.030000	0.982591
44	0.030000	0.982591
45	0.030000	0.982591
46	0.030000	0.982591
47	0.030000	0.992090
48	0.030000	0.982591
49	0.030000	0.982591
50	0.030000	0.982591
51	0.030000	0.982591
52	0.030000	0.992655
53	0.030000	0.982591
54	0.030000	0.982591
55	0.030000	0.982591
56	0.030000	0.982591
57	0.030000	0.982591
58	0.030000	0.982591
59	0.030000	0.992090
60	0.030000	0.982591
61	0.030000	0.989617
62	0.030000	0.982591
63	0.030000	0.990710
64	0.030000	1.000000

1	0.040000	0.987978
2	0.040000	0.983607
3	0.040000	0.981055
4	0.040000	0.992402
5	0.040000	0.981055
6	0.040000	0.981055
7	0.040000	0.981055
8	0.040000	0.981055
9	0.040000	0.981055
10	0.040000	0.981055
11	0.040000	0.981055
12	0.040000	0.981055
13	0.040000	0.988525
14	0.040000	0.981055
15	0.040000	0.981055
16	0.040000	0.981055
17	0.040000	0.981055
18	0.040000	0.984664
19	0.040000	0.981055
20	0.040000	0.981055
21	0.040000	0.981055
22	0.040000	0.981055
23	0.040000	0.981055
24	0.040000	0.981055
25	0.040000	0.981055
26	0.040000	0.981055
27	0.040000	0.981055
28	0.040000	0.981055
29	0.040000	0.989071
30	0.040000	1.000000
31	0.040000	0.994613
32	0.040000	0.981055
33	0.040000	0.998602
34	0.040000	0.981055
35	0.040000	0.990960
36	0.040000	0.992740
37	0.040000	0.981055
38	0.040000	0.993734
39	0.040000	0.981055
40	0.040000	0.981055
41	0.040000	0.989071
42	0.040000	0.981055
43	0.040000	0.981055
44	0.040000	0.981055
45	0.040000	0.981055
46	0.040000	0.981055
47	0.040000	0.990960
48	0.040000	0.981055
49	0.040000	0.981055
50	0.040000	0.981055
51	0.040000	0.981055
52	0.040000	0.992090
53	0.040000	0.981055
54	0.040000	0.981055
55	0.040000	0.981055
56	0.040000	0.981055
57	0.040000	0.981055
58	0.040000	0.981055
59	0.040000	0.990960
60	0.040000	0.981055
61	0.040000	0.988525
62	0.040000	0.981055
63	0.040000	0.989071
64	0.040000	1.000000

1	0.050000	0.993950
2	0.050000	0.983616
3	0.050000	0.974398
4	0.050000	0.994410
5	0.050000	0.974398
6	0.050000	0.974398
7	0.050000	0.974398
8	0.050000	0.974398
9	0.050000	0.974398
10	0.050000	0.974398
11	0.050000	0.974398
12	0.050000	0.974398
13	0.050000	0.981967
14	0.050000	0.974398
15	0.050000	0.974398
16	0.050000	0.974398
17	0.050000	0.974398
18	0.050000	0.983060
19	0.050000	0.974088
20	0.050000	0.974398
21	0.050000	0.974398
22	0.050000	0.974398
23	0.050000	0.974398
24	0.050000	0.974398
25	0.050000	0.974398
26	0.050000	0.978318
27	0.050000	0.974398
28	0.050000	0.974398
29	0.050000	0.983060
30	0.050000	0.999301
31	0.050000	0.993012
32	0.050000	0.974088
33	0.050000	0.996372
34	0.050000	0.974398
35	0.050000	0.991818
36	0.050000	0.990926
37	0.050000	0.974398
38	0.050000	0.993939
39	0.050000	0.974398
40	0.050000	0.974398
41	0.050000	0.987006
42	0.050000	0.974398
43	0.050000	0.974398
44	0.050000	0.974398
45	0.050000	0.974398
46	0.050000	0.974398
