node	r(thre.)	count
0	0.000000	1
1	0.000000	1
2	0.000000	1
3	0.000000	1
4	0.000000	1
5	0.000000	1
6	0.000000	1
7	0.000000	1
8	0.000000	1
9	0.000000	1
10	0.000000	1
11	0.000000	1
12	0.000000	1
13	0.000000	1
14	0.000000	1
15	0.000000	1
16	0.000000	1
17	0.000000	1
18	0.000000	1
19	0.000000	1
20	0.000000	1
21	0.000000	1
22	0.000000	1
23	0.000000	1
24	0.000000	1
25	0.000000	1
26	0.000000	1
27	0.000000	1
28	0.000000	1
29	0.000000	1
30	0.000000	1
31	0.000000	1
32	0.000000	1
33	0.000000	1
34	0.000000	1
35	0.000000	1
36	0.000000	1
37	0.000000	1
38	0.000000	1
39	0.000000	1
40	0.000000	1
41	0.000000	1
42	0.000000	1
43	0.000000	1
44	0.000000	1
45	0.000000	1
46	0.000000	1
47	0.000000	1
48	0.000000	1
49	0.000000	1
50	0.000000	1
51	0.000000	1
52	0.000000	1
53	0.000000	1
54	0.000000	1
55	0.000000	1
56	0.000000	1
57	0.000000	1
58	0.000000	1
59	0.000000	1
60	0.000000	1
61	0.000000	1
62	0.000000	1
63	0.000000	1

0	0.010000	1
1	0.010000	1
2	0.010000	1
3	0.010000	1
4	0.010000	1
5	0.010000	1
6	0.010000	1
7	0.010000	1
8	0.010000	1
9	0.010000	1
10	0.010000	1
11	0.010000	1
12	0.010000	1
13	0.010000	1
14	0.010000	1
15	0.010000	1
16	0.010000	1
17	0.010000	1
18	0.010000	1
19	0.010000	1
20	0.010000	1
21	0.010000	1
22	0.010000	1
23	0.010000	1
24	0.010000	1
25	0.010000	1
26	0.010000	1
27	0.010000	1
28	0.010000	1
29	0.010000	1
30	0.010000	1
31	0.010000	1
32	0.010000	1
33	0.010000	1
34	0.010000	1
35	0.010000	1
36	0.010000	1
37	0.010000	1
38	0.010000	1
39	0.010000	1
40	0.010000	1
41	0.010000	1
42	0.010000	1
43	0.010000	1
44	0.010000	1
45	0.010000	1
46	0.010000	1
47	0.010000	1
48	0.010000	1
49	0.010000	1
50	0.010000	1
51	0.010000	1
52	0.010000	1
53	0.010000	1
54	0.010000	1
55	0.010000	1
56	0.010000	1
57	0.010000	1
58	0.010000	1
59	0.010000	1
60	0.010000	1
61	0.010000	1
62	0.010000	1
63	0.010000	1

0	0.020000	1
1	0.020000	1
2	0.020000	1
3	0.020000	1
4	0.020000	1
5	0.020000	1
6	0.020000	1
7	0.020000	1
8	0.020000	1
9	0.020000	1
10	0.020000	1
11	0.020000	1
12	0.020000	1
13	0.020000	1
14	0.020000	1
15	0.020000	1
16	0.020000	1
17	0.020000	1
18	0.020000	1
19	0.020000	1
20	0.020000	1
21	0.020000	1
22	0.020000	1
23	0.020000	1
24	0.020000	1
25	0.020000	1
26	0.020000	1
27	0.020000	1
28	0.020000	1
29	0.020000	1
30	0.020000	1
31	0.020000	1
32	0.020000	1
33	0.020000	1
34	0.020000	1
35	0.020000	1
36	0.020000	1
37	0.020000	1
38	0.020000	1
39	0.020000	1
40	0.020000	1
41	0.020000	1
42	0.020000	1
43	0.020000	1
44	0.020000	1
45	0.020000	1
46	0.020000	1
47	0.020000	1
48	0.020000	1
49	0.020000	1
50	0.020000	1
51	0.020000	1
52	0.020000	1
53	0.020000	1
54	0.020000	1
55	0.020000	1
56	0.020000	1
57	0.020000	1
58	0.020000	1
59	0.020000	1
60	0.020000	1
61	0.020000	1
62	0.020000	1
63	0.020000	1

0	0.030000	1
1	0.030000	1
2	0.030000	1
3	0.030000	1
4	0.030000	1
5	0.030000	1
6	0.030000	1
7	0.030000	1
8	0.030000	1
9	0.030000	1
10	0.030000	1
11	0.030000	1
12	0.030000	1
13	0.030000	1
14	0.030000	1
15	0.030000	1
16	0.030000	1
17	0.030000	1
18	0.030000	1
19	0.030000	1
20	0.030000	1
21	0.030000	1
22	0.030000	1
23	0.030000	1
24	0.030000	1
25	0.030000	1
26	0.030000	1
27	0.030000	1
28	0.030000	1
29	0.030000	1
30	0.030000	1
31	0.030000	1
32	0.030000	1
33	0.030000	1
34	0.030000	1
35	0.030000	1
36	0.030000	1
37	0.030000	1
38	0.030000	1
39	0.030000	1
40	0.030000	1
41	0.030000	1
42	0.030000	1
43	0.030000	1
44	0.030000	1
45	0.030000	1
46	0.030000	1
47	0.030000	1
48	0.030000	1
49	0.030000	1
50	0.030000	1
51	0.030000	1
52	0.030000	1
53	0.030000	1
54	0.030000	1
55	0.030000	1
56	0.030000	1
57	0.030000	1
58	0.030000	1
59	0.030000	1
60	0.030000	1
61	0.030000	1
62	0.030000	1
63	0.030000	1

0	0.040000	1
1	0.040000	1
2	0.040000	1
3	0.040000	1
4	0.040000	1
5	0.040000	1
6	0.040000	1
7	0.040000	1
8	0.040000	1
9	0.040000	1
10	0.040000	1
11	0.040000	1
12	0.040000	1
13	0.040000	1
14	0.040000	1
15	0.040000	1
16	0.040000	1
17	0.040000	1
18	0.040000	1
19	0.040000	1
20	0.040000	1
21	0.040000	1
22	0.040000	1
23	0.040000	1
24	0.040000	1
25	0.040000	1
26	0.040000	1
27	0.040000	1
28	0.040000	1
29	0.040000	1
30	0.040000	1
31	0.040000	1
32	0.040000	1
33	0.040000	1
34	0.040000	1
35	0.040000	1
36	0.040000	1
37	0.040000	1
38	0.040000	1
39	0.040000	1
40	0.040000	1
41	0.040000	1
42	0.040000	1
43	0.040000	1
44	0.040000	1
45	0.040000	1
46	0.040000	1
47	0.040000	1
48	0.040000	1
49	0.040000	1
50	0.040000	1
51	0.040000	1
52	0.040000	1
53	0.040000	1
54	0.040000	1
55	0.040000	1
56	0.040000	1
57	0.040000	1
58	0.040000	1
59	0.040000	1
60	0.040000	1
61	0.040000	1
62	0.040000	1
63	0.040000	1

0	0.050000	1
1	0.050000	1
2	0.050000	1
3	0.050000	1
4	0.050000	1
5	0.050000	1
6	0.050000	1
7	0.050000	1
8	0.050000	1
9	0.050000	1
10	0.050000	1
11	0.050000	1
12	0.050000	1
13	0.050000	1
14	0.050000	1
15	0.050000	1
16	0.050000	1
17	0.050000	1
18	0.050000	1
19	0.050000	1
20	0.050000	1
21	0.050000	1
22	0.050000	1
23	0.050000	1
24	0.050000	1
25	0.050000	1
26	0.050000	1
27	0.050000	1
28	0.050000	1
29	0.050000	1
30	0.050000	1
31	0.050000	1
32	0.050000	1
33	0.050000	1
34	0.050000	1
35	0.050000	1
36	0.050000	1
37	0.050000	1
38	0.050000	1
39	0.050000	1
40	0.050000	1
41	0.050000	1
42	0.050000	1
43	0.050000	1
44	0.050000	1
45	0.050000	1
46	0.050000	1
47	0.050000	1
48	0.050000	1
49	0.050000	1
50	0.050000	1
51	0.050000	1
52	0.050000	1
53	0.050000	1
54	0.050000	1
55	0.050000	1
56	0.050000	1
57	0.050000	1
58	0.050000	1
59	0.050000	1
60	0.050000	1
61	0.050000	1
62	0.050000	1
63	0.050000	1

0	0.060000	1
1	0.060000	1
2	0.060000	1
3	0.060000	1
4	0.060000	1
5	0.060000	1
6	0.060000	1
7	0.060000	1
8	0.060000	1
9	0.060000	1
10	0.060000	1
11	0.060000	1
12	0.060000	1
13	0.060000	1
